"sample_key","group"
"neg__ex3_l_132_null_32_1-c__4_01_25158","Null"
"neg__ex3_l_132_null_33_1-a__1_01_25132","Null"
"neg__ex3_l_132_null_35_2-e__4_01_25115","Null"
"neg__ex3_l_132_wounding_26_1-b__6_01_25151","Wounding"
"neg__ex3_l_132_wounding_27_2-f__8_01_25129","Wounding"
"neg__ex3_l_132_wounding_28_2-e__5_01_25116","Wounding"
"neg__ex3_l_132_wounding_29_2-d__1_01_25102","Wounding"
"neg__ex3_l_142_null_43_1-c__5_01_25159","Null"
"neg__ex3_l_142_null_44_2-e__3_01_25114","Null"
"neg__ex3_l_142_null_45_1-a__2_01_25133","Null"
"neg__ex3_l_142_null_46_2-f__3_01_25124","Null"
"neg__ex3_l_142_wounding_37_2-f__4_01_25125","Wounding"
"neg__ex3_l_142_wounding_39_1-b__7_01_25152","Wounding"
"neg__ex3_l_142_wounding_40_2-d__2_01_25103","Wounding"
"neg__ex3_l_142_wounding_41_1-a__7_01_25142","Wounding"
"neg__ex3_l_143_null_55_1-b__8_01_25153","Null"
"neg__ex3_l_143_null_56_2-e__2_01_25113","Null"
"neg__ex3_l_143_null_58_1-b__1_01_25146","Null"
"neg__ex3_l_143_null_59_2-d__5_01_25106","Null"
"neg__ex3_l_143_wounding_50_2-d__3_01_25104","Wounding"
"neg__ex3_l_143_wounding_51_1-a__8_01_25143","Wounding"
"neg__ex3_l_143_wounding_52_1-c__6_01_25160","Wounding"
"neg__ex3_l_143_wounding_53_2-d__4_01_25105","Wounding"
"neg__ex3_l_149_null_67_1-b__2_01_25147","Null"
"neg__ex3_l_149_null_68_2-d__6_01_25107","Null"
"neg__ex3_l_149_null_69_1-c__7_01_25161","Null"
"neg__ex3_l_149_null_71_2-e__1_01_25112","Null"
"neg__ex3_l_149_wounding_61_1-c__1_01_25156","Wounding"
"neg__ex3_l_149_wounding_64_2-f__1_01_25122","Wounding"
"neg__ex3_l_149_wounding_65_1-a__3_01_25134","Wounding"
"neg__ex3_l_155_null_79_1-d__1_01_25165","Null"
"neg__ex3_l_155_null_80_1-b__5_01_25150","Null"
"neg__ex3_l_155_null_82_2-d__8_01_25109","Null"
"neg__ex3_l_155_null_83_1-b__4_01_25149","Null"
"neg__ex3_l_155_wounding_73_1-d__5_01_25169","Wounding"
"neg__ex3_l_155_wounding_74_2-f__2_01_25123","Wounding"
"neg__ex3_l_155_wounding_75_2-d__7_01_25108","Wounding"
"neg__ex3_l_155_wounding_76_1-b__3_01_25148","Wounding"
"neg__ex3_l_155_wounding_77_1-c__8_01_25162","Wounding"
"neg__ex3_l_ev_null_20_2-c__7_01_25098","Null"
"neg__ex3_l_ev_null_21_2-e__6_01_25117","Null"
"neg__ex3_l_ev_null_22_2-f__5_01_25126","Null"
"neg__ex3_l_ev_null_23_2-c__8_01_25099","Null"
"neg__ex3_l_ev_wounding_13_2-f__6_01_25127","Wounding"
"neg__ex3_l_ev_wounding_14_1-d__4_01_25168","Wounding"
"neg__ex3_l_ev_wounding_15_2-c__6_01_25097","Wounding"
"neg__ex3_l_ev_wounding_16_2-e__7_01_25118","Wounding"
"neg__ex3_l_ev_wounding_17_1-a__5_01_25141","Wounding"
"neg__ex3_l_ue_null_11_1-d__3_01_25167","Null"
"neg__ex3_l_ue_null_8_1-a__4_01_25135","Null"
"neg__ex3_l_ue_null_8_1-a__4_01_25140","Null"
"neg__ex3_l_ue_null_9_2-e__8_01_25119","Null"
"neg__ex3_l_ue_wounding_1_2-f__7_01_25128","Wounding"
"neg__ex3_l_ue_wounding_3_1-c__2_01_25157","Wounding"
"neg__ex3_l_ue_wounding_4_2-c__5_01_25096","Wounding"
"neg__ex3_l_ue_wounding_5_1-d__2_01_25166","Wounding"
"neg_ex1_l_132_null_31_2-c__6_01_25405","Null"
"neg_ex1_l_132_null_32_2-a__8_01_25387","Null"
"neg_ex1_l_132_null_33_2-c__4_01_25403","Null"
"neg_ex1_l_132_wounding_25_2-e__3_01_25422","Wounding"
"neg_ex1_l_132_wounding_26_2-e__5_01_25424","Wounding"
"neg_ex1_l_132_wounding_27_2-a__1_01_25380","Wounding"
"neg_ex1_l_142_null_43_2-e__2_01_25421","Null"
"neg_ex1_l_142_null_44_2-b__8_01_25397","Null"
"neg_ex1_l_142_null_45_2-e__8_01_25427","Null"
"neg_ex1_l_142_wounding_37_2-d__7_01_25416","Wounding"
"neg_ex1_l_142_wounding_38_2-b__5_01_25394","Wounding"
"neg_ex1_l_142_wounding_39_2-e__7_01_25426","Wounding"
"neg_ex1_l_142_wounding_61_2-c__5_01_25404","Wounding"
"neg_ex1_l_143_null_55_2-a__4_01_25383","Null"
"neg_ex1_l_143_null_56_2-c__8_01_25407","Null"
"neg_ex1_l_143_null_57_2-f__1_01_25430","Null"
"neg_ex1_l_143_wounding_49_2-a__7_01_25386","Wounding"
"neg_ex1_l_143_wounding_50_2-b__3_01_25392","Wounding"
"neg_ex1_l_143_wounding_51-msms_2-d__5_01_25435","Wounding"
"neg_ex1_l_143_wounding_51_2-d__5_01_25414","Wounding"
"neg_ex1_l_149_null_67_2-b__2_01_25391","Null"
"neg_ex1_l_149_null_68_2-d__4_01_25413","Null"
"neg_ex1_l_149_null_69-msms_2-e__6_01_25434","Null"
"neg_ex1_l_149_null_69_2-e__6_01_25425","Null"
"neg_ex1_l_149_wounding_62_2-e__1_01_25420","Wounding"
"neg_ex1_l_149_wounding_63_2-f__2_01_25431","Wounding"
"neg_ex1_l_155_null_79_2-b__6_01_25395","Null"
"neg_ex1_l_155_null_80_2-e__4_01_25423","Null"
"neg_ex1_l_155_null_81_2-a__2_01_25381","Null"
"neg_ex1_l_155_wounding_73_2-a__5_01_25384","Wounding"
"neg_ex1_l_155_wounding_74_2-c__1_01_25400","Wounding"
"neg_ex1_l_155_wounding_75_2-d__1_01_25410","Wounding"
"neg_ex1_l_ev_null_19_2-c__2_01_25401","Null"
"neg_ex1_l_ev_null_20_2-d__6_01_25415","Null"
"neg_ex1_l_ev_null_21_2-b__4_01_25393","Null"
"neg_ex1_l_ev_wounding_13_2-a__3_01_25382","Wounding"
"neg_ex1_l_ev_wounding_14_2-d__3_01_25412","Wounding"
"neg_ex1_l_ev_wounding_15_2-c__3_01_25402","Wounding"
"neg_ex1_l_ue_null_7-msms_2-d__2_01_25432","Null"
"neg_ex1_l_ue_null_7_2-d__2_01_25411","Null"
"neg_ex1_l_ue_null_8_2-d__8_01_25417","Null"
"neg_ex1_l_ue_null_9_2-a__6_01_25385","Null"
"neg_ex1_l_ue_wounding_1_2-b__1_01_25390","Wounding"
"neg_ex1_l_ue_wounding_2_2-c__7_01_25406","Wounding"
"neg_ex1_l_ue_wounding_3-msms_2-b__7_01_25433","Wounding"
"neg_ex1_l_ue_wounding_3_2-b__7_01_25396","Wounding"
"neg_ex2_l_132_null_31_1-c__4_01_25031","Null"
"neg_ex2_l_132_null_32_1-d__2_01_25039","Null"
"neg_ex2_l_132_null_33_1-d__4_01_25041","Null"
"neg_ex2_l_132_null_34_1-f__6_01_25063","Null"
"neg_ex2_l_132_wounding_25_1-b__6_01_25023","Wounding"
"neg_ex2_l_132_wounding_26_1-f__5_01_25062","Wounding"
"neg_ex2_l_132_wounding_27_1-a__6_01_25013","Wounding"
"neg_ex2_l_132_wounding_27_msms_1-a__6_01_25070","Wounding"
"neg_ex2_l_142_null_43_1-c__6_01_25033","Null"
"neg_ex2_l_142_null_44_1-f__2_01_25059","Null"
"neg_ex2_l_142_null_45_1-e__6_01_25053","Null"
"neg_ex2_l_142_null_46_1-d__7_01_25044","Null"
"neg_ex2_l_142_wounding_37_1-c__8_01_25035","Wounding"
"neg_ex2_l_142_wounding_38_1-b__8_01_25025","Wounding"
"neg_ex2_l_142_wounding_39_1-b__1_01_25018","Wounding"
"neg_ex2_l_143_null_55_1-a__2_01_25009","Null"
"neg_ex2_l_143_null_56_1-e__1_01_25048","Null"
"neg_ex2_l_143_null_57_1-a__7_01_25014","Null"
"neg_ex2_l_143_null_58_1-c__1_01_25028","Null"
"neg_ex2_l_143_wounding_49_1-f__4_01_25061","Wounding"
"neg_ex2_l_143_wounding_50_1-d__3_01_25040","Wounding"
"neg_ex2_l_143_wounding_51_1-f__1_01_25058","Wounding"
"neg_ex2_l_149_null_67_1-a__4_01_25011","Null"
"neg_ex2_l_149_null_68_1-c__3_01_25030","Null"
"neg_ex2_l_149_null_68_msms_1-c__3_01_25071","Null"
"neg_ex2_l_149_null_69_1-d__1_01_25038","Null"
"neg_ex2_l_149_null_70_2-a__1_01_25066","Null"
"neg_ex2_l_149_wounding_61_1-c__2_01_25029","Wounding"
"neg_ex2_l_149_wounding_62_1-e__7_01_25054","Wounding"
"neg_ex2_l_149_wounding_63_1-b__3_01_25020","Wounding"
"neg_ex2_l_155_null_79_1-e__8_01_25055","Null"
"neg_ex2_l_155_null_80_1-e__4_01_25051","Null"
"neg_ex2_l_155_null_81_1-c__7_01_25034","Null"
"neg_ex2_l_155_null_82_1-b__5_01_25022","Null"
"neg_ex2_l_155_wounding_73_1-a__3_01_25010","Wounding"
"neg_ex2_l_155_wounding_74_1-d__8_01_25045","Wounding"
"neg_ex2_l_155_wounding_75_1-d__6_01_25043","Wounding"
"neg_ex2_l_ev_null_19_1-a__1_01_25008","Null"
"neg_ex2_l_ev_null_20_1-d__5_01_25042","Null"
"neg_ex2_l_ev_null_21_1-a__5_01_25012","Null"
"neg_ex2_l_ev_null_22_1-f__3_01_25060","Null"
"neg_ex2_l_ev_wounding_13_1-c__5_01_25032","Wounding"
"neg_ex2_l_ev_wounding_14_1-b__7_01_25024","Wounding"
"neg_ex2_l_ev_wounding_15_2-a__3_01_25068","Wounding"
"neg_ex2_l_ue_null_10_1-a__8_01_25015","Null"
"neg_ex2_l_ue_null_11_1-b__2_01_25019","Null"
"neg_ex2_l_ue_null_7_1-b__4_01_25021","Null"
"neg_ex2_l_ue_null_8_1-e__2_01_25049","Null"
"neg_ex2_l_ue_null_8_msms_1-e__2_01_25072","Null"
"neg_ex2_l_ue_null_9_2-a__4_01_25069","Null"
"neg_ex2_l_ue_wounding_1_1-e__3_01_25050","Wounding"
"neg_ex2_l_ue_wounding_1_msms_1-e__3_01_25073","Wounding"
"neg_ex2_l_ue_wounding_4_1-e__5_01_25052","Wounding"
"neg_ex3_l_132_null_31_2-b__7_01_25088","Null"
"neg_ex3_l_132_null_34_2-a__8_01_25079","Null"
"neg_ex3_l_132_wounding_25_2-a__7_01_25078","Wounding"
"neg_ex3_l_142_null_47_2-b__1_01_25082","Null"
"neg_ex3_l_142_wounding_38_2-b__8_01_25089","Wounding"
"neg_ex3_l_143_null_55-msms_1-b__8_01_25173","Null"
"neg_ex3_l_143_wounding_49_2-c__1_01_25092","Wounding"
"neg_ex3_l_149_null_70_2-b__3_01_25084","Null"
"neg_ex3_l_149_wounding_57_2-c__2_01_25093","Wounding"
"neg_ex3_l_149_wounding_61-msms_1-c__1_01_25172","Wounding"
"neg_ex3_l_149_wounding_62_2-b__2_01_25083","Wounding"
"neg_ex3_l_149_wounding_63_2-c__3_01_25094","Wounding"
"neg_ex3_l_155_null_81_2-c__4_01_25095","Null"
"neg_ex3_l_ev_null_19_2-b__6_01_25087","Null"
"neg_ex3_l_ue_null_10_2-b__5_01_25086","Null"
"neg_ex3_l_ue_null_11-msms_1-d__3_01_25171","Null"
"neg_ex3_l_ue_null_7_2-a__6_01_25077","Null"
"neg_ex3_l_ue_wouding_3-msms_1-c__2_01_25170",NA
"neg_ex3_l_ue_wounding_2_2-a__5_01_25076","Wounding"
